pattern_id,pattern_type,account
0,FAN-OUT,00513::80078E200
0,FAN-OUT,020::80020C5B0
0,FAN-OUT,012::80011F990
0,FAN-OUT,021174::800737690
0,FAN-OUT,01292::8004030A0
0,FAN-OUT,00220::8007A5B70
0,FAN-OUT,020::80066B990
0,FAN-OUT,011852::800AEBA90
0,FAN-OUT,01601::800578800
0,FAN-OUT,00410::8002CC310
0,FAN-OUT,001244::80093C0D0
0,FAN-OUT,010::800449990
0,FAN-OUT,011056::8007486D0
0,FAN-OUT,01420::8006FB970
0,FAN-OUT,010::800692550
0,FAN-OUT,001::800AAF0B0
0,FAN-OUT,020::80006A5E0
1,CYCLE,014290::801B949C0
1,CYCLE,020::80BC62F10
1,CYCLE,0010057::803DE1580
1,CYCLE,0028628::80ACEE280
1,CYCLE,0024856::8090E8EB0
1,CYCLE,0071::804ABCE90
1,CYCLE,0217::80FD27570
1,CYCLE,0213737::805494C30
1,CYCLE,0240229::80F025640
1,CYCLE,01467::8013C4030
2,GATHER-SCATTER,0119::811C597B0
2,GATHER-SCATTER,0048309::811C599A0
2,GATHER-SCATTER,0150240::812D22980
2,GATHER-SCATTER,0222::811B83280
3,STACK,013145::809BD8BC0
3,STACK,014099::801F8CCB0
3,STACK,0240229::80EE2B9B0
3,STACK,0214::80C1B9E20
3,STACK,0220504::807E97240
3,STACK,0115700::80B3E96E0
3,STACK,028255::806C7CF80
3,STACK,018617::8038D3520
3,STACK,023833::8067AD0A0
3,STACK,002454::80662A070
3,STACK,006179::802D53D80
3,STACK,0016606::8064545E0
3,STACK,024850::80A09CF50
3,STACK,002845::801E2BC20
3,STACK,0214050::80537F610
3,STACK,010::8009CF210
3,STACK,00410::802D878C0
3,STACK,024144::801C92FF0
3,STACK,0040836::80F6B88B0
3,STACK,003229::8063F5290
3,STACK,022806::807A61380
3,STACK,0220271::81114D580
3,STACK,0017554::806C8F2A0
3,STACK,024482::801C0F2B0
3,STACK,0040312::80F52D550
3,STACK,011318::8011AB110
3,STACK,003229::803FF9220
3,STACK,0023370::80BEA98A0
3,STACK,023842::80195DE20
3,STACK,0214::80B7347A0
3,STACK,021749::8014BDC90
3,STACK,02591::80A1C7710
3,STACK,0223::8000DD890
4,GATHER-SCATTER,001047::8031B5390
4,GATHER-SCATTER,003051::8012E62B0
4,GATHER-SCATTER,0131167::80C21E690
4,GATHER-SCATTER,01588::801ABC430
4,GATHER-SCATTER,003051::806A3D750
4,GATHER-SCATTER,007548::805284730
4,GATHER-SCATTER,0214050::80543C3C0
4,GATHER-SCATTER,0241869::80F390FC0
4,GATHER-SCATTER,001501::808C45FE0
4,GATHER-SCATTER,022736::807DC76A0
4,GATHER-SCATTER,0129974::80FE25690
4,GATHER-SCATTER,012963::80296CA20
4,GATHER-SCATTER,0013157::805CA5A30
4,GATHER-SCATTER,029788::80399CED0
4,GATHER-SCATTER,028183::80BF4C160
4,GATHER-SCATTER,01467::801D43090
4,GATHER-SCATTER,02843::8043B07C0
4,GATHER-SCATTER,0129974::80E0D4970
5,RANDOM,009129::80B4D3030
5,RANDOM,0032564::80C50EE70
5,RANDOM,004::806EE41E0
5,RANDOM,0048309::81239C5C0
5,RANDOM,019593::8038A9100
5,RANDOM,01420::8016E2C30
6,CYCLE,0017753::806D399E0
6,CYCLE,0017401::80D179410
6,CYCLE,013057::80DED0520
6,CYCLE,0239692::80EA93ED0
6,CYCLE,001124::8079EC940
6,CYCLE,027103::80F93F560
6,CYCLE,0211::80A451570
6,CYCLE,027::80BE74FC0
6,CYCLE,00795::80BAEB330
6,CYCLE,0028663::80A976860
7,FAN-OUT,0243614::8113C5790
7,FAN-OUT,0116::80F1AF380
7,FAN-OUT,009679::809ACB660
7,FAN-OUT,012::8023ED8B0
7,FAN-OUT,0148348::81203F670
7,FAN-OUT,024515::8043B2310
7,FAN-OUT,013145::80D210C20
7,FAN-OUT,021387::803158350
7,FAN-OUT,001124::805F9C820
7,FAN-OUT,007042::810C0C4D0
7,FAN-OUT,001655::811F9C580
7,FAN-OUT,0127593::80A817660
7,FAN-OUT,0222819::808CE0050
8,FAN-OUT,0123288::80F5B71F0
8,FAN-OUT,0217496::806F3FE20
8,FAN-OUT,0241079::80EF0F190
9,BIPARTITE,012::80044F690
9,BIPARTITE,014077::802533E40
9,BIPARTITE,021745::800A75B90
9,BIPARTITE,001::8010AA4F0
9,BIPARTITE,01522::800587B60
9,BIPARTITE,003489::80211F620
9,BIPARTITE,01547::8020543A0
9,BIPARTITE,01502::8010647D0
9,BIPARTITE,011904::80103A420
9,BIPARTITE,001244::800ACE160
9,BIPARTITE,011::80048D890
9,BIPARTITE,014290::801BA48E0
9,BIPARTITE,021831::800AEC6D0
9,BIPARTITE,002454::802679190
9,BIPARTITE,001::80162B4B0
9,BIPARTITE,01292::800639010
9,BIPARTITE,002053::801CFFF90
9,BIPARTITE,012719::8015B5F50
9,BIPARTITE,021575::801A58F80
9,BIPARTITE,020::800BBBEC0
9,BIPARTITE,011157::8006F0580
9,BIPARTITE,001::800DD9900
9,BIPARTITE,01688::801732D60
9,BIPARTITE,00513::801947FF0
9,BIPARTITE,023525::8018DC000
9,BIPARTITE,013265::8019C6830
10,RANDOM,022::800202780
10,RANDOM,011::800178CC0
10,RANDOM,020::800283B60
10,RANDOM,012::80010D740
10,RANDOM,010::800119810
10,RANDOM,020::8001B0FA0
10,RANDOM,023::8002A0E00
10,RANDOM,00220::800115860
10,RANDOM,010::8001A6140
11,GATHER-SCATTER,0050528::812D0C600
11,GATHER-SCATTER,0148350::812D0C3C0
11,GATHER-SCATTER,0148350::811FFF630
12,FAN-IN,0119::811C597B0
12,FAN-IN,0048309::811C599A0
12,FAN-IN,0222::811B83280
13,BIPARTITE,0214::8090E3020
13,BIPARTITE,001267::8047B6D80
13,BIPARTITE,0245993::810DF3480
13,BIPARTITE,02915::800A3E5A0
13,BIPARTITE,018460::810E1A430
13,BIPARTITE,0211::811FA3310
13,BIPARTITE,006::80A2953E0
13,BIPARTITE,0021615::8083E2D60
13,BIPARTITE,015055::802958DB0
13,BIPARTITE,0043818::8102394B0
13,BIPARTITE,0035670::80DA83990
13,BIPARTITE,02843::808E9DCD0
13,BIPARTITE,016::804DA7470
13,BIPARTITE,003420::80932CC40
13,BIPARTITE,001669::8015A3ED0
13,BIPARTITE,0224555::80CDF9CD0
13,BIPARTITE,021745::810FB7950
13,BIPARTITE,027444::80445F940
13,BIPARTITE,0010656::8044B4190
13,BIPARTITE,014290::811F91690
13,BIPARTITE,011::8021309A0
13,BIPARTITE,0022422::808838010
13,BIPARTITE,012::800C050D0
13,BIPARTITE,0249118::811DFB6B0
14,FAN-IN,0048308::811ED7DF0
14,FAN-IN,0249176::81235EC40
14,FAN-IN,0148348::81235EE30
14,FAN-IN,0148016::811FCA7B0
14,FAN-IN,0223::811EDA940
14,FAN-IN,0121::811E03C30
14,FAN-IN,0249118::812D1A650
14,FAN-IN,0223::8119F8CC0
14,FAN-IN,0119::8000DA7D0
14,FAN-IN,0048526::8120D4990
14,FAN-IN,0149345::812D1AC00
14,FAN-IN,0223::812D1A410
14,FAN-IN,0048309::81235EAA0
14,FAN-IN,0048910::8120D49E0
14,FAN-IN,0251264::812D1B280
14,FAN-IN,0118::811A67510
14,FAN-IN,0223::811A65E30
15,GATHER-SCATTER,00410::8002438B0
15,GATHER-SCATTER,011::800240F20
15,GATHER-SCATTER,028::8000B4150
15,GATHER-SCATTER,011::8001021C0
15,GATHER-SCATTER,011::8001205B0
15,GATHER-SCATTER,012::8002924E0
15,GATHER-SCATTER,023::8001FE5D0
15,GATHER-SCATTER,020::80012E0B0
15,GATHER-SCATTER,012::800054B70
16,RANDOM,0119::811C597B0
16,RANDOM,0048309::811C599A0
16,RANDOM,0150240::812D22980
16,RANDOM,0222::811B83280
17,SCATTER-GATHER,01729::800AB4E80
17,SCATTER-GATHER,0022155::80CB4E960
17,SCATTER-GATHER,004726::803CA44E0
17,SCATTER-GATHER,0213952::806D47B10
17,SCATTER-GATHER,010::801396710
17,SCATTER-GATHER,0213952::808338D40
17,SCATTER-GATHER,011056::80ABDD6E0
17,SCATTER-GATHER,012::801DA8990
17,SCATTER-GATHER,0115915::80A32F2B0
17,SCATTER-GATHER,0043049::81024EED0
17,SCATTER-GATHER,0110057::804162D10
17,SCATTER-GATHER,0025534::8095B6AF0
17,SCATTER-GATHER,009482::806694250
17,SCATTER-GATHER,0026442::80AEBECB0
17,SCATTER-GATHER,018097::80EF96640
17,SCATTER-GATHER,028627::80B9F0EE0
17,SCATTER-GATHER,0018405::806DA0590
17,SCATTER-GATHER,020::803892E30
18,CYCLE,001411::800BFED10
18,CYCLE,01362::800463160
18,CYCLE,01362::8003A56A0
18,CYCLE,012735::80150CB00
18,CYCLE,005464::802125640
18,CYCLE,003149::8013DB9A0
18,CYCLE,001024::8009FD760
18,CYCLE,021174::800776AF0
18,CYCLE,01547::8018245C0
18,CYCLE,01674::801309540
19,FAN-IN,011::8001027C0
19,FAN-IN,020::800246FC0
19,FAN-IN,023::8001D7610
19,FAN-IN,012::800117590
19,FAN-IN,020::800283B60
19,FAN-IN,01362::8001ECD70
19,FAN-IN,012::800205030
19,FAN-IN,020::800060420
19,FAN-IN,01490::800A180A0
19,FAN-IN,012::800137450
19,FAN-IN,001::800056160
20,FAN-IN,0050528::812D0C600
20,FAN-IN,0148350::812D0C3C0
20,FAN-IN,0148350::811FFF630
21,STACK,015231::80266F880
21,STACK,023691::8021353D0
22,BIPARTITE,0119::812A09CF0
22,BIPARTITE,0049365::812A09D40
23,CYCLE,015231::80266F880
23,CYCLE,023691::8021353D0
24,BIPARTITE,0119::812A09CF0
24,BIPARTITE,0049365::812A09D40
25,BIPARTITE,0020861::80940A1D0
25,BIPARTITE,003420::802FACFC0
25,BIPARTITE,006625::80B81C1B0
25,BIPARTITE,017732::8031FC940
25,BIPARTITE,01292::800C15270
25,BIPARTITE,014077::80AE3D7E0
25,BIPARTITE,0111974::807E3D970
25,BIPARTITE,012381::801804D80
25,BIPARTITE,004866::8024DBCA0
25,BIPARTITE,003489::80421CC70
25,BIPARTITE,0018324::8094AA6D0
25,BIPARTITE,0123308::808A026E0
25,BIPARTITE,029069::8040B0040
25,BIPARTITE,0113685::8066D12D0
25,BIPARTITE,01502::80DFD0950
25,BIPARTITE,0112637::805868B60
25,BIPARTITE,008539::8094155B0
25,BIPARTITE,022828::80C627820
25,BIPARTITE,001853::802AD27C0
25,BIPARTITE,023555::8015C6BB0
25,BIPARTITE,021381::802FFC060
25,BIPARTITE,0112733::804DBD7D0
26,FAN-OUT,024850::801DF7660
26,FAN-OUT,01362::802783AA0
26,FAN-OUT,011904::800E9BC40
26,FAN-OUT,0225734::8095AF170
26,FAN-OUT,0014::80FD3CE00
26,FAN-OUT,028694::804ED8800
26,FAN-OUT,009129::80623F410
26,FAN-OUT,015010::804902340
26,FAN-OUT,020::80017C540
26,FAN-OUT,0139828::80EB89D80
26,FAN-OUT,021831::801D989A0
26,FAN-OUT,0133826::80FCC36A0
26,FAN-OUT,002053::80F2FC160
26,FAN-OUT,0015::80AA3F780
27,BIPARTITE,003144::801C3C0D0
27,BIPARTITE,0223649::8091D1780
27,BIPARTITE,0015::80A222330
27,BIPARTITE,0010057::803F405F0
27,BIPARTITE,013264::80662F8F0
27,BIPARTITE,022::800181850
27,BIPARTITE,0137218::80F443FD0
27,BIPARTITE,0212::807697CA0
27,BIPARTITE,0226350::80B3748B0
27,BIPARTITE,021940::80C5AEED0
28,GATHER-SCATTER,006179::809BBC7B0
28,GATHER-SCATTER,0125906::80D8F53F0
28,GATHER-SCATTER,005425::804A5FE50
28,GATHER-SCATTER,014549::8063E7160
28,GATHER-SCATTER,0211::808E44B10
28,GATHER-SCATTER,021831::808099880
28,GATHER-SCATTER,018196::80CAE3930
28,GATHER-SCATTER,001::8006FA4B0
28,GATHER-SCATTER,0133471::80CA21140
28,GATHER-SCATTER,0126984::80EADAC60
28,GATHER-SCATTER,0010642::8044CB690
28,GATHER-SCATTER,024132::8078D10C0
28,GATHER-SCATTER,023555::80BA57230
28,GATHER-SCATTER,003144::809478870
28,GATHER-SCATTER,021258::8026A8370
28,GATHER-SCATTER,003420::801798880
28,GATHER-SCATTER,01292::801F788B0
28,GATHER-SCATTER,008595::80C2A6210
28,GATHER-SCATTER,004523::8089A5CB0
28,GATHER-SCATTER,005140::80A2728D0
28,GATHER-SCATTER,022164::8017F7FF0
28,GATHER-SCATTER,028800::811097150
28,GATHER-SCATTER,0028603::80A847310
28,GATHER-SCATTER,011657::807A05580
28,GATHER-SCATTER,022758::808098770
28,GATHER-SCATTER,029715::80B115F60
29,CYCLE,022164::802528AE0
29,CYCLE,025547::8034D1800
29,CYCLE,009417::8037EB780
30,GATHER-SCATTER,026580::8093F4D70
30,GATHER-SCATTER,0214322::8088FE560
30,GATHER-SCATTER,027288::802B47C40
30,GATHER-SCATTER,028693::80DC84FA0
30,GATHER-SCATTER,0029435::80DE48320
